90660;Los Angeles;0
90661;Los Angeles;0
90670;Los Angeles;0
90680;Santa Ana;5
90701;Long Beach;3
90702;Long Beach;3
90703;Long Beach;3
90704;Long Beach;3
90706;Long Beach;3
90707;Long Beach;3
90710;Long Beach;3
90711;Long Beach;3
90712;Long Beach;3
90713;Long Beach;3
90714;Long Beach;3
90715;Long Beach;3
90716;Long Beach;3
90717;Long Beach;3
90720;Santa Ana;5
90721;Santa Ana;5
90723;Long Beach;3
90731;Long Beach;3
90732;Long Beach;3
90733;Long Beach;3
90734;Long Beach;3
90740;Santa Ana;5
90742;Anaheim;4
90743;Long Beach;3
90744;Long Beach;3
90745;Long Beach;3
90746;Long Beach;3
90747;Long Beach;3
90748;Long Beach;3
90749;Long Beach;3
90755;Long Beach;3
90760;Long Beach;3
90800;Long Beach;3
90801;Long Beach;3
90802;Long Beach;3
90803;Long Beach;3
90804;Long Beach;3
90805;Long Beach;3
90806;Long Beach;3
90807;Long Beach;3
90808;Long Beach;3
90809;Long Beach;3
90810;Long Beach;3
90811;Long Beach;3
90812;Long Beach;3
90813;Long Beach;3
90814;Long Beach;3
90815;Long Beach;3
90816;Long Beach;3
90817;Long Beach;3
90818;Long Beach;3
90819;Long Beach;3
90820;Long Beach;3
90821;Long Beach;3
90822;Long Beach;3
90823;Long Beach;3
90824;Long Beach;3
90825;Long Beach;3
90826;Long Beach;3
90827;Long Beach;3
90828;Long Beach;3
90829;Long Beach;3
90830;Long Beach;3
90831;Long Beach;3
90832;Long Beach;3
90833;Long Beach;3
90834;Long Beach;3
90835;Long Beach;3
90836;Long Beach;3
90837;Long Beach;3
90838;Long Beach;3
90839;Long Beach;3
90840;Long Beach;3
90841;Long Beach;3
90842;Long Beach;3
90843;Long Beach;3
90844;Long Beach;3
90845;Long Beach;3
90846;Long Beach;3
90847;Long Beach;3
90848;Long Beach;3
90850;Long Beach;3
90853;Long Beach;3
90878;Long Beach;3
90893;Long Beach;3
91001;Los Angeles;0
91003;Los Angeles;0
91006;Los Angeles;0
91007;Los Angeles;0
91008;Los Angeles;0
91009;San Bernardino;9
91010;Los Angeles;0
91011;Los Angeles;0
91012;Los Angeles;0
91016;Los Angeles;0
91017;Los Angeles;0
91020;Los Angeles;0
91023;Los Angeles;0
91024;Los Angeles;0
91030;Los Angeles;0
91031;Los Angeles;0
91040;Van Nuys;6
91041;Van Nuys;6
91042;Los Angeles;0
91045;Los Angeles;0
91046;Los Angeles;0
91066;Pomona;8
91070;Pomona;8
91101;Los Angeles;0
91102;Los Angeles;0
91103;Los Angeles;0
91104;Los Angeles;0
91105;Los Angeles;0
91106;Los Angeles;0
91107;Los Angeles;0
91108;Los Angeles;0
91109;Los Angeles;0
91110;Los Angeles;0
91111;Los Angeles;0
91112;Los Angeles;0
91113;Los Angeles;0
91114;Los Angeles;0
91115;Los Angeles;0
91116;Los Angeles;0
91117;Los Angeles;0
91118;Los Angeles;0
91119;Los Angeles;0
91120;Los Angeles;0
91121;Los Angeles;0
91122;Los Angeles;0
91123;Los Angeles;0
91124;Los Angeles;0
91125;Los Angeles;0
91126;Los Angeles;0
91127;Los Angeles;0
91128;Los Angeles;0
91129;Los Angeles;0
91130;Los Angeles;0
91131;Los Angeles;0
91170;Los Angeles;0
91175;Los Angeles;0
91176;Los Angeles;0
91184;Los Angeles;0
91201;Los Angeles;0
91202;Los Angeles;0
91203;Los Angeles;0
91204;Los Angeles;0
91205;Los Angeles;0
91206;Los Angeles;0
91207;Los Angeles;0
91208;Los Angeles;0
91209;Los Angeles;0
91210;Los Angeles;0
91211;Los Angeles;0
91212;Los Angeles;0
91213;Los Angeles;0
91214;Los Angeles;0
91221;Los Angeles;0
91222;Los Angeles;0
91224;Los Angeles;0
91225;Los Angeles;0
91226;Los Angeles;0
91301;Van Nuys;6
91302;Van Nuys;6
91303;Van Nuys;6
91304;Van Nuys;6
91305;Van Nuys;6
91306;Van Nuys;6
91307;Van Nuys;6
91308;Van Nuys;6
91309;Van Nuys;6
91310;Van Nuys;6
91311;Van Nuys;6
91312;Van Nuys;6
91313;Van Nuys;6
91316;Van Nuys;6
91319;Oxnard;7
91320;Oxnard;7
91321;Van Nuys;6
91322;Van Nuys;6
91324;Van Nuys;6
91325;Van Nuys;6
91326;Van Nuys;6
91327;Van Nuys;6
